src_id,dst_id,weight
19,169,2292
19,170,168
19,171,1105
19,172,24
19,175,13
19,180,24
19,194,7137
19,219,216
19,220,5052
19,222,5531
19,251,2400
19,253,3389
19,255,61
19,284,29
19,303,3
19,437,60
19,513,96
19,515,108
20,8,24
20,39,12
20,40,72
20,46,72
20,58,24
20,68,24
20,80,60
20,102,24
20,105,24
20,117,120
20,128,12
20,130,24
20,131,12
20,265,12
20,280,48
20,354,24
20,384,60
20,398,24
20,415,72
20,444,12
20,452,24
20,459,84
20,492,12
20,514,24
25,0,900
25,2,22246
25,10,576
25,11,39421
25,17,24
25,19,25199
25,24,696
25,26,7238
25,28,1907
25,29,612
25,31,192
25,34,12
25,41,576
25,43,3858
25,48,117
25,52,108
25,57,1260
25,60,408
25,62,3844
25,82,1032
25,88,51512
25,90,384
25,95,3779
25,97,1032
25,100,384
25,108,12
25,125,1612
25,135,732
25,143,24
25,160,5942
25,169,2916
25,170,24
25,171,3164
25,172,240
25,174,3688
25,180,432
25,205,28649
25,219,564
25,221,72
25,222,25858
25,233,4478
25,251,876
25,253,144
25,255,5376
25,274,528
25,284,2706
25,303,20742
25,325,72
25,328,9121
25,369,36
25,437,33774
25,467,264
25,510,36
25,511,5526
25,513,288
26,8,408
26,84,36
26,88,24
26,98,72
26,108,12
26,174,48
26,194,118
26,254,36
26,281,156
26,514,36
27,12,48
27,29,12
27,32,241
27,39,1547
27,41,189974
27,45,444
27,48,36
27,55,48
27,59,1296
27,63,1508
27,68,12
27,71,240
27,79,1844
27,80,12
27,94,60
27,132,24
27,148,24
27,152,12
27,181,216
27,196,24
27,198,96
27,204,12
27,209,48
27,231,803
27,251,24
27,263,6
27,296,24
27,298,24
27,339,96
27,357,24
27,388,72
27,390,72
27,424,36
27,472,12
27,482,24
27,500,24
27,516,24
28,9,432
28,16,48
28,126,24
28,221,48
29,33,192
29,43,24
29,149,144
29,192,48
29,220,48
29,221,48
29,274,192
29,290,12
29,324,192
29,360,48
29,403,48
29,419,24
29,446,144
29,450,48
30,29,2064
30,51,720
30,52,408
30,72,3002
30,87,1492
30,95,1261
30,99,36
30,116,24
30,121,1908
30,156,2
30,157,1572
30,160,276
30,168,840
30,169,1776
30,212,48
30,215,12
30,219,36
30,220,60
30,221,272
30,222,108
30,237,24
30,246,24
30,251,12
30,253,70
30,262,24
30,278,168
30,281,24
30,295,24
30,296,36
30,319,120
30,321,312
30,327,25
30,346,624
30,361,768
30,379,24
30,390,96
30,414,24
30,426,48
30,428,24
30,462,24
30,484,12
30,494,192
30,512,936
30,515,48
31,43,48
31,145,12
31,220,24
31,240,24
31,255,24
31,297,48
31,511,12
32,63,181
32,120,360
32,472,156
37,208,24
37,379,24
38,15,600
38,33,24
38,91,24
38,184,36
38,242,24
39,64,12
39,77,12
39,85,154
39,106,79
39,113,48
39,117,24
39,133,36
39,313,24
41,2,1738320
41,4,240
41,10,1320
41,11,2280348
41,17,10188
41,19,587971
41,22,444
41,24,2508
41,25,15879
41,26,226786
41,27,2768
41,28,227803
41,34,50
41,35,96
41,40,336
41,42,96
41,43,3888
41,48,14081
41,51,816
41,52,2820
41,57,1440
41,60,7472
41,62,162734
41,82,24169
41,88,97825
41,90,1620
41,95,5903
41,98,718
41,99,60
41,100,120
41,103,588
41,143,24
41,155,4964
41,165,72
41,166,72
41,169,2556
41,170,192
41,171,144756
41,172,2428
41,175,82369
41,179,5189
41,194,35739
41,205,18678
41,212,200
41,215,91
41,219,1248
41,220,756
41,221,708
41,222,56450
41,251,168
41,252,624
41,253,3466
41,255,2340
41,261,936
41,277,708
41,284,18454
41,289,1388
41,331,48
41,356,24
41,367,24
41,389,12
41,443,24
41,461,24
41,470,24
43,1,24
43,52,24
43,60,48
43,87,24
43,93,144
43,95,72
43,129,1320
43,169,24
43,241,144
47,39,12
47,308,24
47,317,512
47,336,312
47,371,24
47,386,24
47,402,24
47,418,96
47,450,48
47,459,36
48,0,780
48,2,2404168
48,4,15423
48,5,1278
48,6,36
48,7,216
48,9,564
48,10,36
48,11,2339669
48,14,12
48,17,9276
48,21,132
48,22,84
48,24,1284
48,25,1203105
48,26,1211487
48,27,120
48,29,22507
48,30,40070
48,32,1056
48,34,12935
48,35,60
48,36,12
48,38,256
48,39,9
48,41,3433079
48,42,24
48,43,80081
48,47,12680
48,49,48
48,50,204
48,52,924
48,54,24
48,56,24
48,57,54286
48,58,24
48,60,348
48,62,8290
48,66,480
48,67,48
48,68,72
48,70,48
48,71,156
48,72,96
48,73,24
48,74,624
48,75,10104
48,78,444
48,79,1020
48,82,1332
48,83,400
48,87,719
48,88,2724
48,89,108
48,90,2304
48,92,24
48,94,948
48,95,72
48,96,4884
48,97,129
48,99,24
48,100,120
48,101,584
48,103,588
48,105,24
48,108,24
48,112,24
48,113,144
48,115,11040
48,116,312
48,119,132
48,121,48
48,122,24
48,123,48
48,124,48
48,127,24
48,128,12
48,131,36
48,134,24
48,135,2724
48,136,24
48,137,72
48,145,924
48,146,24
48,147,12
48,150,12
48,152,156
48,155,204
48,156,12
48,157,12488
48,158,312
48,159,72
48,160,12
48,162,1332
48,163,336
48,164,1662
48,165,12
48,166,156
48,167,300
48,168,408
48,169,456
48,170,12
48,172,96
48,174,2280
48,175,866
48,176,3361
48,178,228
48,179,60
48,180,24
48,181,168
48,183,12
48,186,24
48,191,24
48,193,24
48,194,2536
48,195,780
48,199,60
48,201,60
48,202,4910
48,203,24
48,204,60
48,205,1728
48,206,24
48,213,60
48,214,24
48,215,12
48,216,48
48,217,140
48,219,624
48,220,24
48,221,84
48,222,331
48,224,48
48,227,485
48,229,816
48,230,24
48,232,36
48,233,12
48,234,180
48,235,48
48,236,184
48,237,24
48,240,132
48,241,36
48,244,216
48,248,24
48,251,228
48,252,24
48,253,996
48,255,1610
48,263,18
48,264,24
48,265,12
48,266,576
48,267,276
48,268,288
48,269,12
48,270,100
48,271,336
48,272,108
48,273,96
48,274,192321
48,275,24
48,276,98
48,277,456
48,278,576
48,279,948
48,281,1900
48,282,48
48,283,24
48,284,12
48,285,48
48,286,24
48,287,24
48,289,4656
48,292,24
48,294,12
48,295,372
48,297,12
48,300,84
48,301,216
48,302,9
48,303,36
48,304,168
48,305,48
48,309,48
48,311,516
48,314,12
48,315,24
48,316,24
48,319,60
48,320,24
48,321,360
48,322,48
48,325,84
48,326,240
48,327,432
48,328,96
48,330,12
48,335,144
48,338,132
48,340,12
48,341,192
48,342,96
48,346,264
48,347,48
48,348,48
48,349,376
48,350,24
48,356,36
48,369,276
48,372,48
48,374,96
48,376,24
48,377,48
48,380,36
48,383,24
48,390,48
48,391,24
48,393,12
48,394,36
48,401,24
48,406,264
48,407,195
48,408,1428
48,409,234
48,415,72
48,420,36
48,422,48
48,425,12
48,428,72
48,429,24
48,436,48
48,437,120
48,438,24
48,443,12
48,449,24
48,461,24
48,462,48
48,463,72
48,465,96
48,466,24
48,467,84
48,468,12
48,472,84
48,479,132
48,483,60
48,486,24
48,496,12
48,499,84
48,510,1068
48,511,12
48,512,108
48,513,36
51,43,24
51,461,24
60,6,1674
60,61,1008
60,69,24
60,102,72
60,214,96
60,237,24
60,292,72
60,325,72
60,516,24
61,281,72
61,285,72
63,39,76
63,70,144
63,76,24
63,107,24
63,114,24
63,118,24
63,177,24
63,182,24
63,185,24
63,193,24
63,312,96
63,314,36
63,317,264
63,352,24
63,384,36
63,398,48
63,405,52
63,442,120
74,0,24
74,11,7004
74,19,1078099
74,25,168
74,26,48695
74,29,96
74,30,36
74,31,13227
74,32,1590
74,37,24
74,38,380
74,39,192
74,43,540
74,48,36
74,52,348
74,67,84
74,69,12
74,81,1
74,82,60
74,83,8
74,85,216
74,94,420
74,113,72
74,123,24
74,157,60
74,170,12
74,200,24
74,202,2076
74,205,504
74,208,24
74,212,24
74,229,12
74,238,12
74,240,24
74,243,72
74,251,84
74,253,36
74,281,80
74,289,96
74,295,96
74,297,60
74,310,12
74,331,60
74,379,12
74,451,36
78,20,12
78,74,24
78,115,216
78,138,192
79,18,1740
79,23,612
79,38,32
79,55,48
79,68,24
79,144,420
79,306,12
81,74,12
81,101,1
82,46,72
82,105,144
82,128,24
82,252,24
87,398,24
88,171,96
89,54,24
89,438,24
94,13,1658
95,170,48
95,219,48
95,220,24
95,221,48
95,253,1152
95,255,24
95,513,420
96,2,1
96,11,325
96,88,24
96,141,1680
97,164,216
97,165,24
97,205,24
97,222,24
98,109,24
98,173,12
98,188,12
98,225,12
98,318,12
101,23,432
101,38,8
101,81,12
101,144,132
101,231,1
103,189,12
103,230,48
103,497,36
104,240,24
115,20,1068
115,86,48
116,114,24
116,431,24
119,1,24
119,18,7246
119,27,196971
119,48,11142385
119,53,12
119,74,1193881
119,79,24
119,84,24
119,109,48
119,161,60
119,173,12
119,188,12
119,189,12
119,190,24
119,225,12
119,249,60
119,310,768
119,318,12
121,43,24
125,39,1408
135,220,24
135,473,24
135,481,48
135,492,12
135,497,24
135,502,24
135,505,24
141,2,362
141,18,1719
141,19,942
141,23,1080
141,96,5942
141,144,132
143,11,12670
143,20,1464
143,25,2220602
143,30,39147
143,34,12935
143,41,9705786
143,43,79961
143,52,1092
143,57,54298
