node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
68,931,978143,41,4,Krixe,36893,,Not Disclosed,Global,Content,300,300,False,False,False,0,22,,Open,Not Required,False,Not Required
69,932,1665496,42,2,XNNET,24300,50-100Gbps,Balanced,Asia Pacific,NSP,1000,500,True,False,True,4,4,,Selective,Not Required,False,Not Required
70,955,2119689,19,210,LSHIY LLC,22896,100-200Gbps,Balanced,Global,NSP,10000,10000,True,False,True,3,9,https://peering.lshiy.com/,Open,Preferred,False,Private Only
71,961,4322,1,0,,,,,,,,,,,,,,,,,,
72,963,299124,19,0,N963,39860,,Mostly Outbound,Global,NSP,2000,20000,True,False,True,1,3,,Open,Not Required,False,Not Required
73,971,6712328,25,117,PureVoltage,15815,20-50Tbps,,North America,NSP,150000,10000,True,False,True,3,18,https://purevoltage.com,Open,Not Required,False,Not Required
74,976,56868,4,0,"CoreNET, Inc.",32144,100-200Gbps,Balanced,Global,Cable/DSL/ISP,5000,6000,True,False,True,1,7,,Open,Not Required,False,Not Required
75,979,1386375,29,0,NETLAB-SDN,32728,300-500Gbps,Balanced,North America,Cable/DSL/ISP,1000,1000,False,False,False,2,0,,Open,Not Required,False,Not Required
76,983,884615,63,5,Akari Networks,23315,100-200Gbps,Balanced,Global,Cable/DSL/ISP,1000,1000,True,False,True,13,12,,Open,Not Required,False,Not Required
77,984,1423287,73,6,OWS,34086,1-5Tbps,Balanced,Global,Cable/DSL/ISP,5000,500,True,False,True,5,0,,Open,Preferred,False,Not Required
78,996,622823,2,1,,,,,,,,,,,,,,,,,,
79,997,74820,24,0,KLAYER,17222,20-50Gbps,Balanced,Asia Pacific,Enterprise,0,0,True,True,True,1,0,,Open,Not Required,False,Private Only
80,998,28107,26,0,HypeStatus,38259,,Not Disclosed,Not Disclosed,NSP,200,0,True,False,False,1,2,,Open,Not Required,False,Not Required
81,999,27336957,51,1940,CORIX NETWORKS,38503,1-5Gbps,Balanced,Global,Content,30000,30000,True,True,True,0,22,,Selective,Not Required,False,Not Required
82,1001,10331,1,0,Academy City Internet,32081,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,4,,Open,Not Required,False,Not Required
83,1002,30716,19,0,Bytefilter LLC,33150,1-5Tbps,,Global,NSP,1000,500,True,True,True,3,10,https://bytefilter.com/,Open,Not Required,False,Not Required
84,1003,334231,6,126,andrewnet,29001,1-5Gbps,Balanced,North America,Educational/Research,10,300,True,False,True,4,4,https://www.as1003.net/peering/,Open,Not Required,False,Not Required
85,1011,13153,20,0,Accutar Canada,33926,,Not Disclosed,Not Disclosed,Enterprise,10,30,True,False,True,3,1,,Open,Not Required,False,Not Required
86,1024,5212,2,0,12393239 Canada Inc,29951,,Not Disclosed,North America,,100,100,True,False,True,1,0,,Open,Not Required,False,Not Required
87,1025,10486,7,0,Valor Christian High School - Edge,31600,1-5Gbps,Mostly Inbound,North America,NSP,10,5,True,False,True,1,0,,Selective,Not Required,False,Not Required
88,1029,5199,1,0,Nato Internet Service (APAC),17236,,Not Disclosed,Not Disclosed,,0,0,True,False,True,0,0,,Selective,Not Required,False,Not Required
89,1031,36571882,157,2509,PEER-1,33149,5-10Tbps,Balanced,Global,,30000,10000,True,True,True,26,22,,Selective,Preferred,False,Not Required
90,1041,13056,2,0,,,,,,,,,,,,,,,,,,
91,1097,139058,13,0,Core Transit 1097,36184,5-10Gbps,Not Disclosed,Not Disclosed,Network Services,0,0,False,False,False,1,3,,Open,Not Required,False,Not Required
92,1099,5042,1,0,,,,,,,,,,,,,,,,,,
93,1100,163772,19,1,Nuday Networks Inc.,15543,,Balanced,,,100,100,True,False,True,1,4,https://nuday.com/peering-policy,Open,Not Required,False,Not Required
94,1101,68052,146,2,Not SURF Net,16356,,Not Disclosed,Not Disclosed,Educational/Research,25,10,True,False,True,4,2,https://as1101.net/peeringpolicy.html,Open,Not Required,False,Not Required
95,1103,4507941,171,932,SURF,2061,500-1000Gbps,Mostly Inbound,Europe,Educational/Research,300,50,True,False,True,5,6,,Open,Preferred,False,Not Required
96,1104,53184,10,0,Nikhef,31,200-300Gbps,Balanced,Europe,Educational/Research,100,100,True,False,True,3,1,https://as1104.nikhef.nl/,Selective,Not Required,False,Not Required
97,1120,7178,43,4,Vienna Internet eXchange & ACOnet services,106,20-100Mbps,Balanced,Regional,Non-Profit,20,10,True,False,True,1,1,,Open,Not Required,False,Not Required
98,1126,16261,151,0,VANCIS,14585,5-10Gbps,Mostly Outbound,Regional,Cable/DSL/ISP,10,1,True,False,True,3,3,https://www.as1126.net,Open,Not Required,False,Not Required
99,1136,3869318,63,40,KPN NL,7196,,Mostly Inbound,Regional,NSP,1200,200,True,False,True,2,0,,Selective,Preferred,True,Required
100,1140,1792997,111,821,SIDN - Stichting Internet Domeinregistratie Nederland,7804,100-1000Mbps,Balanced,Europe,Non-Profit,4,6,True,False,True,3,2,http://www.as1140.nl/,Selective,Not Required,False,Not Required
101,1149,19974,3,0,,,,,,,,,,,,,,,,,,
102,1200,13728,105,0,Amsterdam Internet Exchange BV,2634,1-5Gbps,Balanced,Europe,Non-Profit,6,2,True,True,True,1,13,https://www.ams-ix.net/ams/documentation/more#section-29346,Open,Not Required,False,Not Required
103,1204,130880,4,0,SUNY,33489,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
104,1213,109396,14,2,HEAnet,1703,100-200Gbps,Mostly Inbound,Regional,Educational/Research,30,10,True,True,True,3,3,http://as1213.heanet.ie,Open,Not Required,False,Not Required
105,1215,13008,1,0,,,,,,,,,,,,,,,,,,
106,1216,8668,1,0,,,,,,,,,,,,,,,,,,
107,1217,17572,1,0,,,,,,,,,,,,,,,,,,
108,1219,17348,4,0,,,,,,,,,,,,,,,,,,
109,1221,38775417,22,121,Telstra Corporation Ltd,22818,,Not Disclosed,Australia,,90000,20000,True,False,True,0,3,https://infraco.telstra.com.au/content/dam/infraco/pdf/telstra-peering-guidelines.pdf,Selective,Preferred,True,Private Only
110,1222,4366,1,0,,,,,,,,,,,,,,,,,,
111,1239,54672,1,2,Sprint - AS1239,789,,Balanced,Global,NSP,110000,15000,True,False,True,3,15,,Selective,Required - International,False,Required
112,1241,557368,162,2,Forthnet,3686,100-200Gbps,Mostly Inbound,Global,Cable/DSL/ISP,1000,100,True,False,True,4,4,https://apps.db.ripe.net/db-web-ui/lookup?source=ripe&key=AS1241&type=aut-num,Selective,Not Required,False,Not Required
113,1248,57462,198,0,HERE Global B.V.,13597,,Balanced,Global,Enterprise,100,5,True,False,True,5,7,,Open,Preferred,False,Not Required
114,1251,326356,46,9,ANSP,8350,5-10Gbps,Balanced,Regional,Educational/Research,200000,50000,True,False,True,1,1,,Open,Not Required,False,Not Required
115,1257,7261072,43,216,TELE2,987,5-10Tbps,Mostly Inbound,Europe,Content,5000,1000,True,False,True,15,26,,Selective,Preferred,False,Not Required
116,1261,55788,6,0,National Instruments Corporation,27205,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
117,1267,8112901,210,988,WINDTRE,1992,50-100Gbps,Mostly Inbound,Europe,NSP,2000,200,True,False,True,9,6,,Open,Preferred,False,Not Required
118,1273,77203154,68,170,Vodafone Global Network,7565,20-50Tbps,Balanced,Global,NSP,100000,10000,True,False,True,20,62,,Selective,Required - International,False,Required
119,1280,3659437,12,41,ISC,1330,,Mostly Outbound,Global,Non-Profit,150,30,True,True,True,1,1,https://www.isc.org/froot-peering/,Open,Not Required,False,Not Required
120,1286,62402,4,0,IVAS01,40583,,Not Disclosed,Not Disclosed,,14,0,True,False,False,0,0,,Open,Not Required,False,Not Required
121,1288,73695,6,2,,,,,,,,,,,,,,,,,,
122,1299,1294291363,276,1783,Arelion (Twelve99),28858,100+Tbps,Balanced,Global,NSP,0,0,True,False,True,0,275,https://www.arelion.com/dam/jcr:58bcf8cb-7cd2-4108-a5d9-e65bc2a01bb5/Arelion%20%20Peering%20Policy%20Clean%20(12.22.pdf,Restrictive,Required - International,True,Required
123,1301,80688,53,0,EDF Group,21029,,Not Disclosed,Europe,,40,10,True,False,True,2,2,,Open,Not Required,False,Not Required
124,1351,12239532,22,196,The University of Vermont,14394,,Heavy Inbound,Not Disclosed,Educational/Research,1,1,True,False,True,2,1,,Open,Not Required,False,Not Required
125,1403,15638500,18,241,EBOX,10432,500-1000Gbps,Heavy Inbound,North America,Cable/DSL/ISP,2500,250,True,False,True,2,5,https://peering.as1403.net,Selective,Preferred,False,Not Required
126,1410,86785,9,0,CellularOne of NE Az,26051,5-10Gbps,Heavy Inbound,North America,Cable/DSL/ISP,15,0,True,False,False,1,0,,Open,Not Required,False,Not Required
127,1426,46579,30,1,TenSpire,39541,20-50Gbps,Mostly Outbound,Not Disclosed,NSP,100,10,True,False,True,1,13,,Open,Not Required,False,Not Required
128,1441,9883,1,0,360 Communications,26307,50-100Gbps,Mostly Inbound,Regional,Cable/DSL/ISP,10,2,True,False,True,1,0,,Open,Not Required,False,Not Required
129,1448,60566,17,0,United Cooperative Services,29040,100-200Gbps,Heavy Inbound,North America,Cable/DSL/ISP,20,10,True,False,True,1,2,,Open,Not Required,False,Not Required
130,1492,5219,2,0,,,,,,,,,,,,,,,,,,
131,1508,9206,2,0,,,,,,,,,,,,,,,,,,
132,1523,5219,2,0,,,,,,,,,,,,,,,,,,
133,1547,256932,231,0,JSC InterDnestrCom (IDC),3553,,Balanced,Global,Cable/DSL/ISP,60,5,True,False,True,13,1,,Open,Not Required,False,Not Required
134,1610,138357,2,0,,,,,,,,,,,,,,,,,,
135,1631,21772,3,0,,,,,,,,,,,,,,,,,,
136,1640,94753,3,0,Thacker-Grigsby Communications,25457,20-50Gbps,Heavy Inbound,North America,NSP,24,0,True,False,False,2,2,,Open,Not Required,False,Not Required
137,1645,8685,4,0,Pachez Holdings Ltd.,7644,1-5Gbps,Mostly Outbound,Regional,Enterprise,20,6,True,False,True,1,1,,Open,Not Required,False,Not Required
138,1680,2158955,189,24,Cellcom Israel,1891,,Mostly Inbound,Global,Cable/DSL/ISP,2000,350,True,False,True,10,8,,Selective,Preferred,False,Not Required
139,1734,15015,3,0,DeLong Consulting,35852,,Not Disclosed,Not Disclosed,,3,1,True,False,True,1,1,,Open,Not Required,False,Not Required
140,1741,227202,7,1,CSC/Funet,3502,5-10Gbps,Balanced,Regional,Educational/Research,100,10,True,True,True,7,0,,Open,Not Required,False,Not Required
141,1746,81262,3,0,,,,,,,,,,,,,,,,,,
142,1764,9688514,198,1400,next layer,1737,1-5Tbps,Balanced,Europe,NSP,3000,2000,True,False,True,8,51,,Selective,Preferred,False,Not Required
143,1766,114346,8,0,,,,,,,,,,,,,,,,,,
144,1797,5816,2,1,,,,,,,,,,,,,,,,,,
145,1798,88972,21,0,State of Oregon,2367,5-10Gbps,Mostly Inbound,Regional,Non-Profit,35,10,True,False,True,2,1,,Open,Not Required,False,Not Required
146,1802,4336,1,0,,,,,,,,,,,,,,,,,,
147,1820,2202875,207,33,Wnet Telecom USA,1001,500-1000Gbps,Balanced,Global,NSP,5000,500,True,True,True,26,45,,Selective,Preferred,False,Not Required
148,1821,26244,3,0,,,,,,,,,,,,,,,,,,
149,1828,12605408,265,2766,Unitas Global,9217,,Mostly Inbound,Global,NSP,15000,1000,True,False,True,48,120,https://peering.unitasglobal.com/,Selective,Preferred,False,Not Required
150,1831,8779,2,0,,,,,,,,,,,,,,,,,,
151,1835,70805,5,0,Forskningsnettet,4018,5-10Gbps,Balanced,Regional,Educational/Research,50,60,True,False,True,1,1,,Open,Not Required,False,Not Required
152,1836,8224472,145,697,green.ch AG,4602,50-100Gbps,Balanced,Europe,Cable/DSL/ISP,300,250,True,False,True,2,7,,Open,Not Required,False,Not Required
153,1840,57321,2,0,,,,,,,,,,,,,,,,,,
154,1853,3150636,46,75,ACOnet,106,100-200Gbps,Balanced,Regional,Educational/Research,750,300,True,True,True,1,2,,Open,Not Required,False,Not Required
155,1880,44317,33,0,Stupi LLC,3201,1-5Gbps,Balanced,Regional,Educational/Research,40,2,True,True,True,1,0,,Selective,Not Required,False,Not Required
156,1886,30229,3,0,BTnet network coordination,33844,100-1000Mbps,Balanced,Not Disclosed,Cable/DSL/ISP,20,1,True,False,True,1,0,,Open,Not Required,False,Not Required
157,1916,4283642,73,1953,Rede Nacional de Ensino e Pesquisa - RNP,4959,100-200Gbps,Mostly Inbound,Regional,Educational/Research,1000,180,True,True,True,24,3,,Open,Not Required,False,Not Required
158,1921,59788,128,3,RcodeZero Anycast DNS,2117,1-5Gbps,Balanced,Global,Content,50,50,True,False,True,8,0,,Open,Not Required,False,Not Required
159,1922,4482,4,0,SIX-SK-IX-SERVICES,41551,100-200Gbps,Heavy Outbound,Not Disclosed,Content,3,3,True,False,True,1,1,,Open,Not Required,False,Not Required
160,1930,407369,12,1,FCCN - Fundacao para a Computacao Cientifica Nacional,1232,,Balanced,Europe,Educational/Research,200,40,True,True,True,3,3,,Open,Not Required,False,Required
161,1955,87590,15,0,Hungarian NREN,24013,,Balanced,Europe,Educational/Research,100,3,True,True,True,1,2,https://kifu.gov.hu,Open,Not Required,False,Not Required
162,1958,5136,1,0,,,,,,,,,,,,,,,,,,
163,1975,18107,3,0,PROQUEST-AS,39726,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,,,False,
164,1982,34606,3,0,Northwest Nexus,1548,100-1000Mbps,Balanced,North America,Cable/DSL/ISP,100,5,True,False,False,1,1,,Open,Not Required,False,Not Required
165,1983,5136,1,0,,,,,,,,,,,,,,,,,,
166,2003,92868,4,0,Electric Power Research Institute,34714,1-5Gbps,Mostly Outbound,North America,Non-Profit,20,0,True,False,False,0,0,,Open,Not Required,False,Not Required
167,2011,22692,3,0,,,,,,,,,,,,,,,,,,
168,2015,35036,2,0,MSEN-SYSTEM,35838,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,,,False,
169,2018,2056840,169,1,Tertiary Education and Research Network of South Africa,1784,5-10Gbps,Mostly Inbound,Regional,Educational/Research,600,150,True,True,True,8,0,,Open,Not Required,False,Not Required
170,2021,13529,2,0,Unisys Corporation,29799,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
171,2027,3210007,51,501,MilkyWan,19100,5-10Gbps,Balanced,Europe,Cable/DSL/ISP,200,200,True,False,True,9,9,https://as2027.net,Open,Preferred,False,Not Required
172,2044,1212288,11,51,Digital Fortress - AS2044,1396,1-5Gbps,Balanced,North America,Cable/DSL/ISP,50,5,True,False,True,2,9,,Open,Not Required,False,Not Required
173,2047,137160,3,0,Hoffmann - La Roche Ltd.,15357,,Not Disclosed,Global,Enterprise,21,0,True,False,False,1,2,,Open,Required - International,False,Not Required
174,2072,33690,41,1,,,,,,,,,,,,,,,,,,
175,2094,41041,53,0,"Renater, Telecom & Management Sud Paris",38795,,Not Disclosed,Not Disclosed,Educational/Research,255,255,True,True,True,0,0,,Open,Not Required,False,Not Required
176,2107,168749,4,4,Arnes,2091,50-100Gbps,Balanced,Europe,Educational/Research,500,200,True,False,True,1,2,,Open,Not Required,False,Not Required
177,2108,30153,4,0,CARNet,2549,20-50Gbps,Mostly Inbound,Regional,Educational/Research,10,1,True,False,True,1,1,,Open,Not Required,False,Required
178,2110,137809,18,5,BT Ireland,117,500-1000Gbps,Mostly Inbound,Europe,Cable/DSL/ISP,200,50,True,False,True,2,2,,Open,Not Required,False,Not Required
179,2111,9218,9,1,,,,,,,,,,,,,,,,,,
180,2116,1580395,11,19,GlobalConnect AS2116,942,1-5Tbps,Balanced,Regional,Cable/DSL/ISP,6000,1000,True,False,True,4,2,,Selective,Preferred,False,Not Required
181,2119,3690976,158,435,Telenor (Norway/Sweden),619,1-5Tbps,Balanced,Europe,Cable/DSL/ISP,1500,300,True,False,True,15,4,,Selective,Preferred,True,Not Required
182,2128,13315,11,0,INEX Route Collectors,679,,Balanced,Regional,Route Collector,0,0,True,False,True,2,0,,Open,Not Required,False,Not Required
183,2134,586432,22,0,Produban Servicios Informaticos Generales,7025,,Balanced,Global,Enterprise,150,8,True,False,False,6,8,,Open,Not Required,False,Not Required
184,2152,19380605,16,74,CENIC / CalREN AS2152,448,1-5Tbps,Heavy Inbound,Regional,Educational/Research,2500,500,True,True,True,8,6,https://cenic.org/network/policies/cenic-peering-policy,Selective,Preferred,False,Not Required
185,2200,828996,78,6,RENATER,3593,50-100Gbps,Balanced,Europe,Educational/Research,270,12,True,True,True,6,4,,Open,Not Required,False,Not Required
186,2274,24975,2,0,,,,,,,,,,,,,,,,,,
187,2280,157002,35,0,,,,,,,,,,,,,,,,,,
188,2381,4302225,36,181,WiscNet,512,200-300Gbps,Mostly Inbound,Regional,Educational/Research,1500,150,True,True,True,5,7,https://tools.wiscnet.net/peering/,Open,Not Required,False,Not Required
189,2484,4539,136,0,FR-NIC-DNS-ANYCAST (AFNIC > NIC-FR > Anycast DNS),2369,100-1000Mbps,Mostly Outbound,Europe,Non-Profit,1,1,True,False,True,16,9,http://as2484.peeringdb.com/,Open,Not Required,False,Not Required
