src_id,dst_id,weight
15,3549,25
15,3556,197
15,3568,555
15,3579,5
15,3593,150
15,3599,174
15,3612,235
15,3620,10
15,3621,15
15,3631,1265
15,3635,40
15,3639,880
15,3643,2034
15,3644,110
15,3650,25
15,3664,315
15,3666,160
15,3675,20
15,3680,90
15,3682,829
15,3683,15
15,3690,5
15,3704,1748
15,3711,564
15,3717,1823
15,3718,156
15,3720,239
15,3722,2790
15,3725,78
15,3731,1881
15,3746,37
15,3753,48
15,3768,20
15,3769,30
15,3776,200
15,3784,945
15,3785,12
15,3786,50
15,3790,1369
15,3794,25
15,3800,25
15,3801,1002
15,3802,175
15,3803,1120
15,3805,548
15,3810,6190
15,3815,30
15,3817,20
15,3818,65
15,3819,120
15,3821,1801
15,3828,190
15,3835,75
15,3836,329
15,3845,10
15,3848,133
15,3863,140
15,3865,10
15,3873,10
15,3874,3384
15,3876,15
15,3885,2717
15,3887,991
15,3888,20
15,3895,12
15,3916,10
15,3918,868
15,3920,335
15,3923,80
15,3926,18
15,3930,15
15,3931,34
15,3937,31
15,3945,25
15,3946,4108
15,3949,793
15,3951,40
15,3970,462
15,3983,27
15,3995,188
15,3999,230
15,4003,261
15,4004,1411
15,4006,45
15,4008,2418
15,4014,247
15,4016,92
15,4018,40
15,4021,181
15,4022,766
15,4026,50
15,4027,105
15,4032,15
15,4033,159
15,4034,35
15,4036,131
15,4039,185
15,4055,25
15,4058,40
15,4061,50
15,4064,58
15,4088,96
15,4092,25
15,4097,25
15,4098,30
15,4101,25
15,4104,3830
15,4109,141
15,4110,27
15,4150,207
15,4159,331
15,4181,50
15,4199,125
15,4202,785
15,4207,13836
15,4212,150
15,4236,175
15,4281,483
15,4336,3225
15,4383,30
15,4384,38
15,4388,1303
15,4392,80
15,4393,94
15,4400,600
15,4412,458
15,4418,50
15,4421,1588
15,4424,150
15,4427,60
15,4429,295
15,4432,105
15,4440,43
15,4441,208
15,4448,3604
15,4451,108
15,4455,10
15,4457,64
15,4461,25
15,4465,50
15,4470,1912
15,4477,265
15,4481,564
15,4488,75
15,4490,100
15,4492,100
15,4495,20
15,4509,25
15,4511,25
15,4518,25
15,4523,1331
15,4525,2435
15,4526,63
15,4529,25
15,4538,40
15,4542,75
15,4546,1456
15,4548,75
15,4555,20
15,4567,2020
15,4572,40
15,4579,45
15,4581,55
15,4582,1155
15,4595,2220
15,4597,25
15,4598,108
15,4599,1042
15,4601,4320
15,4621,15
15,4628,402
15,4637,1772
15,4646,600
15,4647,830
15,4652,45
15,4670,126
15,4671,300
15,4678,1
15,4679,90
15,4684,1060
15,4697,75
15,4698,25
15,4702,306
15,4706,2319
15,4726,6
15,4728,174
15,4745,10
15,4746,994
15,4747,6863
15,4753,10
15,4762,5960
15,4766,595
15,4770,93
15,4771,100
15,4777,109
15,4783,884
15,4785,42
15,4791,711
15,4819,395
15,4833,25
