node_id,asn,path_occurrences,in_degree,out_degree,name,org_id,info_traffic,info_ratio,info_scope,info_type,info_prefixes4,info_prefixes6,info_unicast,info_multicast,info_ipv6,ix_count,fac_count,policy_url,policy_general,policy_locations,policy_ratio,policy_contracts
116,1921,60,5,1,RcodeZero Anycast DNS,2117,1-5Gbps,Balanced,Global,Content,50,50,True,False,True,8,0,,Open,Not Required,False,Not Required
117,1958,40,1,0,,,,,,,,,,,,,,,,,,
118,1975,115,3,0,PROQUEST-AS,39726,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,,,False,
119,1982,195,2,0,Northwest Nexus,1548,100-1000Mbps,Balanced,North America,Cable/DSL/ISP,100,5,True,False,False,1,1,,Open,Not Required,False,Not Required
120,1983,40,1,0,,,,,,,,,,,,,,,,,,
121,2003,715,4,0,Electric Power Research Institute,34714,1-5Gbps,Mostly Outbound,North America,Non-Profit,20,0,True,False,False,0,0,,Open,Not Required,False,Not Required
122,2011,160,3,0,,,,,,,,,,,,,,,,,,
123,2015,235,2,0,MSEN-SYSTEM,35838,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,,,False,
124,2018,11260,8,0,Tertiary Education and Research Network of South Africa,1784,5-10Gbps,Mostly Inbound,Regional,Educational/Research,600,150,True,True,True,8,0,,Open,Not Required,False,Not Required
125,2021,80,2,0,Unisys Corporation,29799,,Not Disclosed,Not Disclosed,,0,0,False,False,False,0,0,,Open,Not Required,False,Not Required
126,2044,1383,3,0,Digital Fortress - AS2044,1396,1-5Gbps,Balanced,North America,Cable/DSL/ISP,50,5,True,False,True,2,9,,Open,Not Required,False,Not Required
127,2047,1050,3,0,Hoffmann - La Roche Ltd.,15357,,Not Disclosed,Global,Enterprise,21,0,True,False,False,1,2,,Open,Required - International,False,Not Required
128,2094,20,1,0,"Renater, Telecom & Management Sud Paris",38795,,Not Disclosed,Not Disclosed,Educational/Research,255,255,True,True,True,0,0,,Open,Not Required,False,Not Required
129,2110,226,2,2,BT Ireland,117,500-1000Gbps,Mostly Inbound,Europe,Cable/DSL/ISP,200,50,True,False,True,2,2,,Open,Not Required,False,Not Required
130,2134,1390,8,0,Produban Servicios Informaticos Generales,7025,,Balanced,Global,Enterprise,150,8,True,False,False,6,8,,Open,Not Required,False,Not Required
131,2152,24821,2,2,CENIC / CalREN AS2152,448,1-5Tbps,Heavy Inbound,Regional,Educational/Research,2500,500,True,True,True,8,6,https://cenic.org/network/policies/cenic-peering-policy,Selective,Preferred,False,Not Required
132,2274,185,2,0,,,,,,,,,,,,,,,,,,
133,2381,19331,3,3,WiscNet,512,200-300Gbps,Mostly Inbound,Regional,Educational/Research,1500,150,True,True,True,5,7,https://tools.wiscnet.net/peering/,Open,Not Required,False,Not Required
134,2484,50,4,0,FR-NIC-DNS-ANYCAST (AFNIC > NIC-FR > Anycast DNS),2369,100-1000Mbps,Mostly Outbound,Europe,Non-Profit,1,1,True,False,True,16,9,http://as2484.peeringdb.com/,Open,Not Required,False,Not Required
135,2495,985,4,0,KanREN,6332,200-300Gbps,Mostly Inbound,Regional,Educational/Research,250,30,True,False,True,1,2,,Open,Not Required,False,Not Required
136,2497,113782,9,86,Internet Initiative Japan,930,,Balanced,Global,NSP,20000,5000,True,False,True,15,17,,Restrictive,Required - International,True,Required
137,2500,310,3,0,WIDE Project,1073,,Mostly Inbound,Asia Pacific,Educational/Research,40,2,True,False,True,3,0,https://two.wide.ad.jp/#peering_policy,Open,Not Required,False,Not Required
138,2514,8333,3,1,NTT PC Communications (InfoSphere),1701,,Balanced,Regional,NSP,4000,500,True,False,True,6,0,,Selective,Preferred,True,Not Required
139,2515,100,2,0,JPNIC,1978,20-100Mbps,Mostly Outbound,Asia Pacific,Non-Profit,4,2,True,False,True,4,0,,Selective,Not Required,False,Not Required
140,2516,46017,7,56,KDDI,222,,Balanced,Global,NSP,10000,1700,True,False,True,9,11,,Selective,Preferred,False,Not Required
141,2519,20779,4,30,ARTERIA Networks Corporation (Vectant),8796,1-5Tbps,Mostly Inbound,Global,NSP,3000,200,True,False,True,13,8,https://www.arteria-net.com/en/business/peering,Selective,Preferred,False,Not Required
142,2535,425,2,0,,,,,,,,,,,,,,,,,,
143,2544,1005,2,0,King County I-NET,1715,,Mostly Inbound,North America,Government,30,1,True,False,False,1,0,,Selective,Not Required,False,Not Required
144,2549,225,2,0,Universidad de Guadalajara,17090,10-20Gbps,Mostly Inbound,North America,Educational/Research,9,3,True,False,True,0,0,,Open,Not Required,False,Not Required
145,2559,1509,6,0,Visa International,16940,,Not Disclosed,Global,,100,0,True,False,False,8,7,https://usa.visa.com/legal/peering.html,Selective,Preferred,False,Not Required
146,2586,1000,4,1,Elisa Eesti,20978,,Not Disclosed,Not Disclosed,NSP,500,50,True,False,True,2,4,,Selective,Not Required,False,Not Required
147,2603,23415,6,3,NORDUnet,11702,1-5Tbps,Balanced,Global,Educational/Research,9000,1200,True,True,True,30,21,,Selective,Preferred,False,Not Required
148,2614,1914,4,1,RoEduNet,7812,10-20Gbps,Balanced,Regional,Educational/Research,250,5,True,False,True,4,0,,Open,Not Required,False,Not Required
149,2615,2190,5,0,Bechtel,20291,,Not Disclosed,Not Disclosed,Enterprise,0,0,False,False,False,0,0,,Restrictive,Not Required,False,Not Required
150,2631,535,6,0,DISCOVERY-AS,39722,,Not Disclosed,Global,Content,0,0,True,False,False,0,0,,Open,Not Required,False,Not Required
151,2635,3833,17,0,Automattic,12628,300-500Gbps,Mostly Outbound,Global,Content,150,100,True,False,True,50,28,,Open,Preferred,False,Not Required
152,2639,1297,8,0,Zoho,15107,20-50Gbps,Balanced,Not Disclosed,,25,0,True,False,True,1,0,,Selective,Not Required,False,Not Required
153,2647,4463,4,1,Orange Business Services North America,2508,200-300Gbps,Balanced,North America,NSP,2000,500,True,False,False,7,0,https://www.peeringdb.com/org/2508,Restrictive,Required - US,False,Not Required
154,2685,1224,2,2,AT&T Canada,33822,,,Regional,NSP,1000,500,True,False,True,3,3,,Selective,Preferred,False,Required
155,2686,9606,9,16,AT&T EMEA,33822,,Balanced,Europe,NSP,5000,2000,True,False,True,22,0,,Selective,Preferred,False,Required
156,2687,8856,7,7,AT&T AP,33822,,Balanced,Asia Pacific,NSP,10000,2000,True,False,True,17,0,,Selective,Preferred,False,Required
157,2688,1418,3,5,AT&T LA,33822,,Balanced,Regional,NSP,2000,500,True,False,True,5,0,,Selective,Preferred,False,Required
158,2715,1700,2,0,Fundacao de Amparo a Pesquisa,14183,,Not Disclosed,Not Disclosed,,0,0,True,False,True,0,0,,Open,Not Required,False,Not Required
